ID	ploidy	gainSeg	totalGain	lossSeg	totalLoss	file	date
BLM	1	2	104951097	0	0	blm-1-single-f5-r1-c1_S1_.trimmed.mdup.bam	2021-01-18
BLM	1	2	104190525	0	0	blm-1-single-f5-r1-c2_S2_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	2	92765199	0	0	blm_recq5-2-single-c15-w32_.trimmed.mdup.bam	2020-08-28
BLM/RECQL5	1	1	56627094	0	0	blm_recq5-2-single-c16-w7_.trimmed.mdup.bam	2020-08-28
BLM	1	1	27533574	0	0	blm-1-single-f7-r2-c6_S111_.trimmed.mdup.bam	2021-01-18
BLM	1	4	184323150	0	0	blm-1-single-f7-r6-c2_S135_.trimmed.mdup.bam	2021-01-18
RECQL5	1	2	61156339	0	0	recq5-2-single-f9-r4-c2_S219_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	3	167868305	2	141298204	blm-recq5-2-single-f16-r3-c6_S559_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	1	89194380	blm-recq5-2-single-f16-r5-c7_S574_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	1	24431936	0	0	blm-recq5-1-single-f15-r3-c2_S506_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	1	67597374	0	0	blm-recq5-1-single-f14-r1-c7_S448_.trimmed.mdup.bam	2021-01-18
RECQL5	1	1	111648484	0	0	recq5-2-single-f10-r2-c3_S255_.trimmed.mdup.bam	2021-01-18
RECQL5	1	2	51808809	0	0	recq5-2-single-f11-r5-c2_S324_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm_recq5-2-single-c16-w18_.trimmed.mdup.bam	2020-08-28
BLM/RECQL5	1	0	0	0	0	blm-recq5-1-single-c7-w14-3d6_S212_.trimmed.mdup.bam	2020-08-18
BLM	1	2	51296019	1	34005989	blm-1-single-f7-r1-c1_S99_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm_recq5-2-single-c15-w15_.trimmed.mdup.bam	2020-08-28
RECQL5	1	0	0	0	0	recq5-2-single-f11-r6-c7_S336_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm-recq5-1-single-f15-r1-c3_S493_.trimmed.mdup.bam	2021-01-18
RECQL5	1	0	0	0	0	recq5-2-single-c10-w45-3d6_S390_.trimmed.mdup.bam	2020-08-18
RECQL5	1	1	21700717	0	0	recq5-2-single-f11-r2-c3_S304_.trimmed.mdup.bam	2021-01-18
RECQL5	1	0	0	0	0	recq5-2-single-f11-r3-c6_S314_.trimmed.mdup.bam	2021-01-18
RECQL5	1	1	63531857	0	0	recq5-2-single-f9-r7-c2_S240_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	2	142602440	0	0	blm-recq5-2-single-f8-r7-c2_S191_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	2	124434089	0	0	blm-recq5-1-single-f14-r7-c4_S487_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	2	102726779	0	0	blm-recq5-2-single-f12-r1-c3_S346_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	1	30736744	0	0	blm_recq5-1-single-c14-w19_.trimmed.mdup.bam	2020-08-28
BLM/RECQL5	1	0	0	0	0	blm-recq5-1-single-c7-w34-3d6_S232_.trimmed.mdup.bam	2020-08-18
BLM/RECQL5	1	0	0	0	0	blm_recq5-2-single-c16-w28_.trimmed.mdup.bam	2020-08-28
RECQL5	1	0	0	1	56808246	recq5-2-single-f11-r1-c7_S301_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	2	74876868	0	0	blm-recq5-1-single-f13-r1-c2_S394_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	1	101646086	0	0	blm-recq5-2-single-f12-r1-c1_S344_.trimmed.mdup.bam	2021-01-18
RECQL5	1	2	43124997	0	0	recq5-2-single-c11-w9_.trimmed.mdup.bam	2020-08-28
BLM/RECQL5	1	1	20645443	0	0	blm_recq5-2-single-c16-w5_.trimmed.mdup.bam	2020-08-28
BLM/RECQL5	1	0	0	0	0	blm_recq5-2-single-c16-w12_.trimmed.mdup.bam	2020-08-28
RECQL5	1	2	54045760	0	0	recq5-2-single-f11-r5-c3_S325_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm-recq5-2-single-f12-r2-c4_S354_.trimmed.mdup.bam	2021-01-18
RECQL5	1	1	27841132	0	0	recq5-2-single-f9-r3-c2_S212_.trimmed.mdup.bam	2021-01-18
BLM	1	1	20773395	0	0	blm-1-single-c10-w15_.trimmed.mdup.bam	2020-08-28
BLM/RECQL5	1	1	24278755	0	0	blm-recq5-2-single-f16-r7-c1_S582_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm_recq5-2-single-c16-w21_.trimmed.mdup.bam	2020-08-28
BLM/RECQL5	1	0	0	0	0	blm-recq5-1-single-f14-r4-c6_S468_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm-recq5-1-single-f14-r5-c6_S475_.trimmed.mdup.bam	2021-01-18
RECQL5	1	1	145037267	0	0	recq5-2-single-f11-r4-c7_S322_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	1	20049728	0	0	blm-recq5-2-single-c12-w39-3d6_S482_.trimmed.mdup.bam	2020-08-18
BLM/RECQL5	1	0	0	0	0	blm_recq5-2-single-c16-w35_.trimmed.mdup.bam	2020-08-28
RECQL5	1	4	191715039	0	0	recq5-2-single-f11-r4-c5_S320_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm_recq5-2-single-c16-w33_.trimmed.mdup.bam	2020-08-28
BLM/RECQL5	1	3	100330777	0	0	blm-recq5-1-single-f15-r1-c1_S491_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm-recq5-1-single-f15-r5-c2_S520_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	2	93429290	0	0	blm-recq5-2-single-f16-r2-c6_S552_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	3	90911651	0	0	blm_recq5-2-single-c15-w28_.trimmed.mdup.bam	2020-08-28
BLM/RECQL5	1	2	167287934	0	0	blm_recq5-2-single-c15-w8_.trimmed.mdup.bam	2020-08-28
BLM/RECQL5	1	1	145037267	0	0	blm-recq5-2-single-f12-r4-c4_S368_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	2	52167456	0	0	blm_recq5-2-single-c16-w29_.trimmed.mdup.bam	2020-08-28
RECQL5	1	2	166972287	0	0	recq5-2-single-f10-r5-c4_S277_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	1	22277958	0	0	blm-recq5-1-single-c11-w11-3d6_S405_.trimmed.mdup.bam	2020-08-18
BLM/RECQL5	1	2	124816934	0	0	blm-recq5-1-single-f14-r4-c4_S466_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm_recq5-1-single-c14-w9_.trimmed.mdup.bam	2020-08-28
RECQL5	1	2	47857265	0	0	recq5-2-single-f11-r2-c1_S302_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	3	197378695	0	0	blm-recq5-1-single-f15-r6-c3_S528_.trimmed.mdup.bam	2021-01-18
RECQL5	1	2	50491986	0	0	recq5-2-single-f11-r3-c2_S310_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	3	69859934	1	51915348	blm-recq5-1-single-f14-r7-c3_S486_.trimmed.mdup.bam	2021-01-18
RECQL5	1	2	137780951	0	0	recq5-2-single-f10-r7-c6_S293_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	0	0	0	0	blm-recq5-1-single-f14-r4-c7_S469_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	2	52306013	0	0	blm-recq5-2-single-f16-r3-c5_S558_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	1	21886275	0	0	blm_recq5-2-single-c16-w26_.trimmed.mdup.bam	2020-08-28
BLM/RECQL5	1	2	137567020	0	0	blm-recq5-2-single-f8-r3-c2_S163_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	2	144987080	0	0	blm-recq5-2-single-f12-r3-c2_S359_.trimmed.mdup.bam	2021-01-18
RECQL5	1	3	122913473	0	0	recq5-2-single-f11-r6-c3_S332_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	1	1	20148492	0	0	blm-recq5-1-single-c11-w33-3d6_S427_.trimmed.mdup.bam	2020-08-18
BLM/RECQL5	1	1	20381853	0	0	blm-recq5-2-single-c4-w19-3d6_S85_.trimmed.mdup.bam	2020-08-18
BLM/RECQL5	1	2	42957254	0	0	blm-recq5-1-single-c3-w11-3d6_S56_.trimmed.mdup.bam	2020-08-18
BLM/RECQL5	1	3	167295857	0	0	blm_recq5-2-single-c16-w36_.trimmed.mdup.bam	2020-08-28
BLM	2	15	414187084	0	0	blm-1-single-f5-r5-c3_S31_.trimmed.mdup.bam	2021-01-18
BLM/RECQL5	2	5	164289149	1	20316676	blm-recq5-2-single-c12-w24-3d6_S467_.trimmed.mdup.bam	2020-08-18
BLM/RECQL5	2	3	82511630	0	0	blm_recq5-1-single-c14-w38_.trimmed.mdup.bam	2020-08-28
BLM/RECQL5	2	0	0	1	20049728	blm_recq5-2-single-c15-w42_.trimmed.mdup.bam	2020-08-28
BLM/RECQL5	2	0	0	3	145673578	blm_recq5-2-single-c16-w22_.trimmed.mdup.bam	2020-08-28
RECQL5	2	1	20587963	2	46940077	recq5-2-single-f10-r7-c2_S289_.trimmed.mdup.bam	2021-01-18
BLM	2	0	0	5	144899115	blm-1-single-f5-r5-c2_S30_.trimmed.mdup.bam	2021-01-18
BLM	2	0	0	2	70289594	blm-1-single-f5-r6-c5_S40_.trimmed.mdup.bam	2021-01-18
RECQL5	2	0	0	1	155597838	zeid_RECQ5_UV300s_hoechst3_cluster15_well31_S521_.trimmed.mdup.bam	2019-02-25
BLM	2	0	0	0	0	zeid_BLM_UV300s_hoechst3_cluster14_well33_S474_.trimmed.mdup.bam	2019-02-25
RECQL5	2	2	114209061	0	0	zeid_RECQ5_UV300s_hoechst3_cluster15_well27_S517_.trimmed.mdup.bam	2019-02-25
RECQL5	2	1	35694678	2	59021508	zeid_RECQ5_UV300s_hoechst3_cluster15_well13_S503_.trimmed.mdup.bam	2019-02-25
RECQL5	2	0	0	0	0	zeid_RECQ5_UV300s_hoechst3_cluster15_well16_S506_.trimmed.mdup.bam	2019-02-25
BLM	2	0	0	0	0	zeid_BLM_UV300s_hoechst3_cluster14_well23_S464_.trimmed.mdup.bam	2019-02-25
BLM	2	1	24504061	0	0	zeid_BLM_UV300s_hoechst3_cluster14_well24_S465_.trimmed.mdup.bam	2019-02-25
BLM/RECQL5	2	1	81824806	0	0	blm_recq5-2-single-c15-w21_.trimmed.mdup.bam	2020-08-28
BLM/RECQL5	2	0	0	1	72807153	blm_recq5-2-single-c16-w16_.trimmed.mdup.bam	2020-08-28
BLM/RECQL5	2	0	0	0	0	blm-recq5-1-single-c11-w1-3d6_S395_.trimmed.mdup.bam	2020-08-18
BLM/RECQL5	2	2	44928795	0	0	blm_recq5-2-single-c16-w19_.trimmed.mdup.bam	2020-08-28
BLM/RECQL5	2	1	23838430	1	21402690	blm_recq5-2-single-c16-w6_.trimmed.mdup.bam	2020-08-28
RECQL5	2	0	0	0	0	zeid_RECQ5_UV300s_hoechst3_cluster15_well25_S515_.trimmed.mdup.bam	2019-02-25
BLM	2	0	0	0	0	zeid_BLM_UV300s_hoechst3_cluster14_well19_S460_.trimmed.mdup.bam	2019-02-25
BLM	2	0	0	0	0	zeid_BLM_UV300s_hoechst3_cluster14_well41_S482_.trimmed.mdup.bam	2019-02-25
BLM	2	0	0	1	57676362	zeid_BLM_UV300s_hoechst3_cluster14_well13_S454_.trimmed.mdup.bam	2019-02-25
RECQL5	2	1	20514177	0	0	zeid_RECQ5_UV300s_hoechst3_cluster15_well26_S516_.trimmed.mdup.bam	2019-02-25
BLM/RECQL5	2	3	91543364	0	0	blm-recq5-2-single-c4-w21-3d6_S86_.trimmed.mdup.bam	2020-08-18
BLM/RECQL5	2	1	21935020	2	48061958	blm-recq5-1-single-c7-w28-3d6_S226_.trimmed.mdup.bam	2020-08-18
BLM	1	3	66988753	0	0	blm-1-single-c5-w24-3d6_S124_.trimmed.mdup.bam	2020-08-18
BLM	1	3	76327029	0	0	blm-1-single-c9-w24-3d6_S320_.trimmed.mdup.bam	2020-08-18
BLM	1	0	0	0	0	blm-1-single-c5-w18-3d6_S118_.trimmed.mdup.bam	2020-08-18
BLM	2	0	0	5	136402891	blm-1-single-c5-w5-3d6_S105_.trimmed.mdup.bam	2020-08-18
BLM	2	0	0	4	89892662	blm-1-single-c5-w41-3d6_S141_.trimmed.mdup.bam	2020-08-18
BLM/RECQL5	2	1	27026075	3	77781226	blm-recq5-1-single-c11-w22-3d6_S416_.trimmed.mdup.bam	2020-08-18
BLM	2	0	0	1	47955638	blm-1-single-c5-w42-3d6_S142_.trimmed.mdup.bam	2020-08-18
BLM	2	3	73351916	4	143737109	blm-1-single-f5-r6-c1_S36_.trimmed.mdup.bam	2021-01-18
RECQL5	2	3	70505035	1	55149598	recq5-2-single-c12-w9_.trimmed.mdup.bam	2020-08-28
BLM	2	0	0	1	54394822	blm-1-single-c10-w11_.trimmed.mdup.bam	2020-08-28
BLM	2	1	21738093	5	110435206	blm-1-single-c9-w43-3d6_S339_.trimmed.mdup.bam	2020-08-18
RECQL5	2	1	23516239	1	62008666	recq5-2-single-c6-w6-3d6_S155_.trimmed.mdup.bam	2020-08-18
BLM	2	6	137447672	1	20049728	blm-1-single-c5-w6-3d6_S106_.trimmed.mdup.bam	2020-08-18
BLM	2	1	23255067	0	0	blm-1-single-c5-w31-3d6_S131_.trimmed.mdup.bam	2020-08-18
BLM	2	4	98537807	0	0	blm-1-single-c5-w47-3d6_S147_.trimmed.mdup.bam	2020-08-18
BLM	2	3	66563889	2	58399895	blm-1-single-c5-w19-3d6_S119_.trimmed.mdup.bam	2020-08-18
BLM	2	2	48395940	1	28371857	blm-1-single-c9-w19-3d6_S315_.trimmed.mdup.bam	2020-08-18
