ID	TD	ploidy	td_sum	file	norm	norm_td	name
BLM/RECQL5	95	1	282389574	blm-recq5-1-single-f15-r4-c5_S516_.trimmed.mdup.bam	282389574	95	HMM
BLM/RECQL5	84	1	255705634	blm-recq5-1-single-f15-r4-c6_S517_.trimmed.mdup.bam	255705634	84	HMM
BLM/RECQL5	74	1	333518871	blm-recq5-1-single-f14-r6-c6_S482_.trimmed.mdup.bam	333518871	74	HMM
BLM/RECQL5	88	1	251426175	blm-recq5-2-single-f12-r4-c2_S366_.trimmed.mdup.bam	251426175	88	HMM
BLM/RECQL5	46	1	321376168	blm-recq5-1-single-f14-r6-c4_S480_.trimmed.mdup.bam	321376168	46	HMM
BLM/RECQL5	68	1	355036220	blm-recq5-1-single-f14-r6-c5_S481_.trimmed.mdup.bam	355036220	68	HMM
BLM/RECQL5	75	1	350526170	blm-recq5-1-single-f14-r1-c7_S448_.trimmed.mdup.bam	350526170	75	HMM
BLM/RECQL5	86	1	275326210	blm-recq5-1-single-f15-r3-c2_S506_.trimmed.mdup.bam	275326210	86	HMM
BLM	90	1	126964490	blm-1-single-f6-r2-c1_S57_.trimmed.mdup.bam	126964490	90	HMM
BLM/RECQL5	66	1	185601088	blm-recq5-2-single-f16-r7-c5_S586_.trimmed.mdup.bam	185601088	66	HMM
BLM/RECQL5	71	1	212822925	blm-recq5-2-single-f12-r1-c6_S349_.trimmed.mdup.bam	212822925	71	HMM
BLM/RECQL5	39	1	210283838	blm-recq5-2-single-f16-r3-c2_S555_.trimmed.mdup.bam	210283838	39	HMM
BLM/RECQL5	46	1	281137034	blm-recq5-2-single-f16-r1-c7_S546_.trimmed.mdup.bam	281137034	46	HMM
BLM/RECQL5	19	1	184787134	blm-recq5-2-single-f16-r1-c3_S542_.trimmed.mdup.bam	184787134	19	HMM
BLM	24	1	287523963	blm-1-single-c9-w42_.trimmed.mdup.bam	287523963	24	HMM
BLM/RECQL5	19	1	247025868	blm-recq5-2-single-f16-r4-c3_S563_.trimmed.mdup.bam	247025868	19	HMM
BLM/RECQL5	40	1	226709263	blm-recq5-2-single-f16-r6-c3_S577_.trimmed.mdup.bam	226709263	40	HMM
BLM/RECQL5	46	1	288924226	blm-recq5-2-single-f16-r7-c4_S585_.trimmed.mdup.bam	288924226	46	HMM
BLM	52	1	245756508	blm-1-single-f7-r5-c7_S133_.trimmed.mdup.bam	245756508	52	HMM
BLM/RECQL5	110	1	246310933	blm-recq5-1-single-f14-r7-c2_S485_.trimmed.mdup.bam	246310933	110	HMM
BLM/RECQL5	56	1	209525133	blm-recq5-1-single-f14-r4-c5_S467_.trimmed.mdup.bam	209525133	56	HMM
BLM/RECQL5	90	1	228670578	blm-recq5-1-single-f14-r1-c2_S443_.trimmed.mdup.bam	228670578	90	HMM
BLM/RECQL5	73	1	217317855	blm-recq5-1-single-f15-r1-c5_S495_.trimmed.mdup.bam	217317855	73	HMM
BLM/RECQL5	82	1	285951872	blm-recq5-1-single-f13-r3-c1_S407_.trimmed.mdup.bam	285951872	82	HMM
BLM/RECQL5	75	1	273919770	blm-recq5-1-single-f14-r2-c4_S452_.trimmed.mdup.bam	273919770	75	HMM
RECQL5	104	2	356317111	zeid_RECQ5_UV300s_hoechst3_cluster15_well31_S521_.trimmed.mdup.bam	178158555.5	52	HMM
RECQL5	133	2	457344054	zeid_RECQ5_UV300s_hoechst3_cluster15_well27_S517_.trimmed.mdup.bam	228672027	66.5	HMM
BLM	104	2	382568521	zeid_BLM_UV300s_hoechst3_cluster14_well24_S465_.trimmed.mdup.bam	191284260.5	52	HMM
RECQL5	134	2	364508626	zeid_RECQ5_UV300s_hoechst3_cluster15_well13_S503_.trimmed.mdup.bam	182254313	67	HMM
BLM	24	2	334275147	zeid_BLM_UV300s_hoechst3_cluster14_well13_S454_.trimmed.mdup.bam	167137573.5	12	HMM
BLM	42	2	349106778	zeid_BLM_UV300s_hoechst3_cluster14_well41_S482_.trimmed.mdup.bam	174553389	21	HMM
BLM	32	2	368790395	zeid_BLM_UV300s_hoechst3_cluster14_well23_S464_.trimmed.mdup.bam	184395197.5	16	HMM
BLM	69	2	369196520	zeid_BLM_UV300s_hoechst3_cluster14_well19_S460_.trimmed.mdup.bam	184598260	34.5	HMM
BLM	48	2	398954775	zeid_BLM_UV300s_hoechst3_cluster14_well34_S475_.trimmed.mdup.bam	199477387.5	24	HMM
RECQL5	133	2	342403027	zeid_RECQ5_UV300s_hoechst3_cluster15_well25_S515_.trimmed.mdup.bam	171201513.5	66.5	HMM
RECQL5	76	2	352681046	zeid_RECQ5_UV300s_hoechst3_cluster15_well32_S522_.trimmed.mdup.bam	176340523	38	HMM
RECQL5	159	2	362607376	zeid_RECQ5_UV300s_hoechst3_cluster15_well30_S520_.trimmed.mdup.bam	181303688	79.5	HMM
RECQL5	174	2	340268643	zeid_RECQ5_UV300s_hoechst3_cluster15_well24_S514_.trimmed.mdup.bam	170134321.5	87	HMM
RECQL5	29	2	332190354	zeid_RECQ5_UV300s_hoechst3_cluster15_well16_S506_.trimmed.mdup.bam	166095177	14.5	HMM
RECQL5	44	2	361042222	zeid_RECQ5_UV300s_hoechst3_cluster15_well23_S513_.trimmed.mdup.bam	180521111	22	HMM
BLM	128	2	461587615	zeid_BLM_UV300s_hoechst3_cluster14_well33_S474_.trimmed.mdup.bam	230793807.5	64	HMM
RECQL5	129	2	269092690	zeid_RECQ5_UV300s_hoechst3_cluster15_well20_S510_.trimmed.mdup.bam	134546345	64.5	HMM
BLM	68	2	262567765	blm-1-single-f5-r6-c4_S39_.trimmed.mdup.bam	131283882.5	34	HMM
BLM	477	1	1321493509	blm-1-single-c5-w45-3d6_S145_.trimmed.mdup.bam	1321493509	477	HMM
BLM	698	1	1503749044	blm-1-single-c5-w18-3d6_S118_.trimmed.mdup.bam	1503749044	698	HMM
BLM	408	1	1528429358	blm-1-single-c5-w47-3d6_S147_.trimmed.mdup.bam	1528429358	408	HMM
BLM	109	2	301972286	blm-1-single-c9-w19-3d6_S315_.trimmed.mdup.bam	150986143	54.5	HMM
BLM	437	2	1813326183	blm-1-single-c9-w24-3d6_S320_.trimmed.mdup.bam	906663091.5	218.5	HMM
BLM	559	2	1576332326	blm-1-single-c5-w36-3d6_S136_.trimmed.mdup.bam	788166163	279.5	HMM
BLM	472	2	1550857765	blm-1-single-c5-w6-3d6_S106_.trimmed.mdup.bam	775428882.5	236	HMM
BLM	316	2	1713937402	blm-1-single-c5-w24-3d6_S124_.trimmed.mdup.bam	856968701	158	HMM
BLM	617	2	1819970428	blm-1-single-c5-w34-3d6_S134_.trimmed.mdup.bam	909985214	308.5	HMM
BLM	541	2	1763922632	blm-1-single-c5-w43-3d6_S143_.trimmed.mdup.bam	881961316	270.5	HMM
BLM	556	2	1943832208	blm-1-single-c5-w26-3d6_S126_.trimmed.mdup.bam	971916104	278	HMM
BLM	365	2	1439234320	blm-1-single-c9-w6-3d6_S302_.trimmed.mdup.bam	719617160	182.5	HMM
BLM/RECQL5	154	2	841689787	blm-recq5-2-single-c4-w21-3d6_S86_.trimmed.mdup.bam	420844893.5	77	HMM
BLM	209	2	1439525689	blm-1-single-f5-r5-c3_S31_.trimmed.mdup.bam	719762844.5	104.5	HMM
BLM	423	2	1053444285	blm-1-single-c9-w35-3d6_S331_.trimmed.mdup.bam	526722142.5	211.5	HMM
BLM	191	2	842217443	blm-1-single-c5-w41-3d6_S141_.trimmed.mdup.bam	421108721.5	95.5	HMM
BLM	217	2	695340096	blm-1-single-c5-w22-3d6_S122_.trimmed.mdup.bam	347670048	108.5	HMM
BLM	181	2	803609844	blm-1-single-c9-w46-3d6_S342_.trimmed.mdup.bam	401804922	90.5	HMM
BLM	272	2	1267362895	blm-1-single-f5-r6-c1_S36_.trimmed.mdup.bam	633681447.5	136	HMM
