ID	TD	ploidy	td_sum	file	norm_td	norm
WT	6	1	348975808	fucci-wt-single-f11-r4-c1_S120_.trimmed.mdup.bam	6	348975808
BLM/RECQL5	5	1	326555924	blm-recq5-2-single-f16-r4-c1_S561_.trimmed.mdup.bam	5	326555924
BLM/RECQL5	7	1	349260188	blm-recq5-2-single-f16-r7-c1_S582_.trimmed.mdup.bam	7	349260188
RECQL5	10	1	352069003	recq5-2-single-f10-r5-c4_S277_.trimmed.mdup.bam	10	352069003
BLM/RECQL5	6	1	349260188	blm_recq5-2-single-c15-w28_.trimmed.mdup.bam	6	349260188
BLM/RECQL5	10	1	350682925	blm-recq5-2-single-f16-r2-c6_S552_.trimmed.mdup.bam	10	350682925
WT	10	1	350098352	fucci-wt-single-f11-r3-c5_S117_.trimmed.mdup.bam	10	350098352
BLM/RECQL5	11	1	351915638	blm-recq5-1-single-c11-w11-3d6_S405_.trimmed.mdup.bam	11	351915638
WT	8	1	330075052	fucci-wt-single-f7-r6-c1_S36_.trimmed.mdup.bam	8	330075052
BLM/RECQL5	10	1	376233694	blm-recq5-1-single-f14-r6-c1_S477_.trimmed.mdup.bam	10	376233694
BLM/RECQL5	10	1	350019645	blm-recq5-2-single-f12-r1-c3_S346_.trimmed.mdup.bam	10	350019645
WT	10	1	354872294	fucci-wt-single-f7-r6-c3_S38_.trimmed.mdup.bam	10	354872294
BLM/RECQL5	7	1	330018985	blm-recq5-1-single-f14-r3-c4_S459_.trimmed.mdup.bam	7	330018985
WT	10	1	330018985	fucci-wt-single-f7-r2-c4_S11_.trimmed.mdup.bam	10	330018985
BLM/RECQL5	9	1	328347029	blm-recq5-2-single-f12-r4-c4_S368_.trimmed.mdup.bam	9	328347029
WT	9	1	330364732	fucci-wt-single-f7-r7-c4_S46_.trimmed.mdup.bam	9	330364732
WT	9	1	327138192	fucci-wt-single-f12-r2-c3_S157_.trimmed.mdup.bam	9	327138192
WT	10	1	349943597	fucci-wt-single-f7-r4-c5_S26_.trimmed.mdup.bam	10	349943597
